       Аналоговые парамeтры:
 Кан.   Имя  Название
    6  HGRV Геометр. высота
  117    EG Откл. РСЗ глисс.

       Бинарные сигналы:
    Кан.   Имя  Название
   128-1  AGND Земля-воздух

        	AGND	HGRV	EG
  Время 	Ph	Ph	Ph
 1:53:21	1	0,0	0,00
 1:53:22	1	0,0	0,00
 1:53:23	1	0,0	0,00
 1:53:24	1	0,0	0,00
 1:53:25	1	0,0	0,00
 1:53:26	1	0,0	0,00
 1:53:27	1	0,0	0,00
 1:53:28	1	0,0	0,00
 1:53:29	1	0,0	0,00
 1:53:30	1	0,0	0,00
 1:53:31	1	0,0	0,00
 1:53:32	1	0,0	0,00
 1:53:33	1	0,0	0,00
 1:53:34	1	0,0	0,00
 1:53:35	1	0,0	0,00
 1:53:36	1	0,0	0,00
 1:53:37	1	0,0	0,00
 1:53:38	1	0,0	0,00
 1:53:39	1	0,0	0,00
 1:53:40	1	0,0	0,00
 1:53:41	1	0,0	0,00
 1:53:42	1	0,0	0,00
 1:53:43	1	0,0	0,00
 1:53:44	1	0,0	0,00
 1:53:45	1	0,0	0,00
 1:53:46	1	0,0	0,00
 1:53:47	1	0,0	0,00
 1:53:48	1	0,0	0,00
 1:53:49	1	0,0	0,00
 1:53:50	1	0,0	0,00
 1:53:51	1	0,0	0,00
 1:53:52	1	0,0	0,00
 1:53:53	1	0,0	0,00
 1:53:54	1	0,0	0,00
 1:53:55	1	0,0	0,00
 1:53:56	1	0,0	0,00
 1:53:57	1	0,0	0,00
 1:53:58	1	0,0	0,00
 1:53:59	1	0,0	0,00
 1:54:00	1	0,0	0,00
 1:54:01	1	0,0	0,00
 1:54:02	1	0,0	0,00
 1:54:03	1	0,0	0,00
 1:54:04	1	0,0	0,00
 1:54:05	1	0,0	0,00
 1:54:06	1	0,0	0,00
 1:54:07	1	0,0	0,00
 1:54:08	1	0,0	0,00
 1:54:09	1	0,0	0,00
 1:54:10	1	0,0	0,00
 1:54:11	1	0,0	0,00
 1:54:12	1	0,0	0,00
 1:54:13	1	0,0	0,00
 1:54:14	1	0,0	0,00
 1:54:15	1	0,0	0,00
 1:54:16	1	0,0	0,00
 1:54:17	1	0,0	0,00
 1:54:18	1	0,0	0,00
 1:54:19	1	0,0	0,00
 1:54:20	1	0,0	0,00
 1:54:21	1	0,0	0,00
 1:54:22	1	0,0	0,00
 1:54:23	1	0,0	0,00
 1:54:24	1	0,0	0,00
 1:54:25	1	0,0	0,00
 1:54:26	1	0,0	0,00
 1:54:27	1	0,0	0,00
 1:54:28	1	0,0	0,00
 1:54:29	1	0,0	0,00
 1:54:30	1	0,0	0,00
 1:54:31	1	0,0	0,00
 1:54:32	1	0,3	0,00
 1:54:33	1	0,0	0,00
 1:54:34	1	0,0	0,00
 1:54:35	1	0,0	0,00
 1:54:36	1	0,0	0,00
 1:54:37	1	0,0	0,00
 1:54:38	1	0,0	0,00
 1:54:39	1	0,0	0,00
 1:54:40	1	0,0	0,00
 1:54:41	1	0,3	0,00
 1:54:42	1	0,0	0,00
 1:54:43	1	0,0	0,00
 1:54:44	1	0,0	0,00
 1:54:45	1	0,0	0,00
 1:54:46	1	0,0	0,00
 1:54:47	1	0,0	0,00
 1:54:48	1	0,0	0,00
 1:54:49	1	0,0	0,00
 1:54:50	1	0,0	0,00
 1:54:51	1	0,0	0,00
 1:54:52	1	0,0	0,00
 1:54:53	1	0,0	0,00
 1:54:54	1	0,0	0,00
 1:54:55	1	0,0	0,00
 1:54:56	1	0,0	0,00
 1:54:57	1	0,0	0,00
 1:54:58	1	0,0	0,00
 1:54:59	1	0,0	0,00
 1:55:00	1	0,0	0,00
